Case qj == j - 2: k=1, m=0, j=5, yk=3.0, qj=3, binStr=0111: 0.0
Case qj == j - 2: k=32, m=9, j=12, yk=1.8446744073709552e+19, qj=10, binStr=0111111111: 1249588922671648.0
Case qj == j - 2: k=33, m=0, j=5, yk=7.378697629483821e+19, qj=3, binStr=0111: 1.0931403895531586e+19
Case qj == j - 2: k=33, m=1, j=5, yk=7.378697629483821e+19, qj=3, binStr=101: 1.0931403895531586e+19
Case qj == j - 2: k=33, m=2, j=5, yk=7.378697629483821e+19, qj=3, binStr=011: 1.0931403895531586e+19
Case qj == j - 2: k=33, m=0, j=6, yk=7.378697629483821e+19, qj=4, binStr=01111: 3.6438012985105285e+18
Case qj == j - 2: k=33, m=1, j=6, yk=7.378697629483821e+19, qj=4, binStr=1101: 3.6438012985105285e+18
Case qj == j - 2: k=33, m=2, j=6, yk=7.378697629483821e+19, qj=4, binStr=1011: 3.6438012985105285e+18
Case qj == j - 2: k=33, m=3, j=6, yk=7.378697629483821e+19, qj=4, binStr=0111: 3.6438012985105285e+18
Case qj == j - 2: k=33, m=0, j=7, yk=7.378697629483821e+19, qj=5, binStr=011111: 1.214600432836843e+18
Case qj == j - 2: k=33, m=1, j=7, yk=7.378697629483821e+19, qj=5, binStr=11101: 1.214600432836843e+18
Case qj == j - 2: k=33, m=2, j=7, yk=7.378697629483821e+19, qj=5, binStr=11011: 1.214600432836843e+18
Case qj == j - 2: k=33, m=3, j=7, yk=7.378697629483821e+19, qj=5, binStr=10111: 1.214600432836843e+18
Case qj == j - 2: k=33, m=4, j=7, yk=7.378697629483821e+19, qj=5, binStr=01111: 1.214600432836843e+18
Case qj == j - 2: k=33, m=0, j=8, yk=7.378697629483821e+19, qj=6, binStr=0111111: 4.048668109456143e+17
Case qj == j - 2: k=33, m=1, j=8, yk=7.378697629483821e+19, qj=6, binStr=111101: 4.048668109456143e+17
Case qj == j - 2: k=33, m=2, j=8, yk=7.378697629483821e+19, qj=6, binStr=111011: 4.048668109456143e+17
Case qj == j - 2: k=33, m=3, j=8, yk=7.378697629483821e+19, qj=6, binStr=110111: 4.048668109456143e+17
Case qj == j - 2: k=33, m=4, j=8, yk=7.378697629483821e+19, qj=6, binStr=101111: 4.048668109456143e+17
Case qj == j - 2: k=33, m=5, j=8, yk=7.378697629483821e+19, qj=6, binStr=011111: 4.048668109456143e+17
Case qj == j - 2: k=33, m=0, j=9, yk=7.378697629483821e+19, qj=7, binStr=01111111: 1.349556036485381e+17
Case qj == j - 2: k=33, m=1, j=9, yk=7.378697629483821e+19, qj=7, binStr=1111101: 1.349556036485381e+17
Case qj == j - 2: k=33, m=2, j=9, yk=7.378697629483821e+19, qj=7, binStr=1111011: 1.349556036485381e+17
Case qj == j - 2: k=33, m=3, j=9, yk=7.378697629483821e+19, qj=7, binStr=1110111: 1.349556036485381e+17
Case qj == j - 2: k=33, m=4, j=9, yk=7.378697629483821e+19, qj=7, binStr=1101111: 1.349556036485381e+17
Case qj == j - 2: k=33, m=5, j=9, yk=7.378697629483821e+19, qj=7, binStr=1011111: 1.349556036485381e+17
Case qj == j - 2: k=33, m=6, j=9, yk=7.378697629483821e+19, qj=7, binStr=0111111: 1.349556036485381e+17
Case qj == j - 2: k=33, m=0, j=10, yk=7.378697629483821e+19, qj=8, binStr=011111111: 4.498520121617937e+16
Case qj == j - 2: k=33, m=1, j=10, yk=7.378697629483821e+19, qj=8, binStr=11111101: 4.498520121617937e+16
Case qj == j - 2: k=33, m=2, j=10, yk=7.378697629483821e+19, qj=8, binStr=11111011: 4.498520121617937e+16
Case qj == j - 2: k=33, m=3, j=10, yk=7.378697629483821e+19, qj=8, binStr=11110111: 4.498520121617937e+16
Case qj == j - 2: k=33, m=4, j=10, yk=7.378697629483821e+19, qj=8, binStr=11101111: 4.498520121617937e+16
Case qj == j - 2: k=33, m=5, j=10, yk=7.378697629483821e+19, qj=8, binStr=11011111: 4.498520121617937e+16
Case qj == j - 2: k=33, m=6, j=10, yk=7.378697629483821e+19, qj=8, binStr=10111111: 4.498520121617937e+16
Case qj == j - 2: k=33, m=7, j=10, yk=7.378697629483821e+19, qj=8, binStr=01111111: 4.498520121617937e+16
Case qj == j - 2: k=33, m=0, j=11, yk=7.378697629483821e+19, qj=9, binStr=0111111111: 1.4995067072059788e+16
Case qj == j - 2: k=33, m=1, j=11, yk=7.378697629483821e+19, qj=9, binStr=111111101: 1.4995067072059788e+16
Case qj == j - 2: k=33, m=2, j=11, yk=7.378697629483821e+19, qj=9, binStr=111111011: 1.4995067072059788e+16
Case qj == j - 2: k=33, m=3, j=11, yk=7.378697629483821e+19, qj=9, binStr=111110111: 1.4995067072059788e+16
Case qj == j - 2: k=33, m=4, j=11, yk=7.378697629483821e+19, qj=9, binStr=111101111: 1.4995067072059788e+16
Case qj == j - 2: k=33, m=5, j=11, yk=7.378697629483821e+19, qj=9, binStr=111011111: 1.4995067072059788e+16
Case qj == j - 2: k=33, m=6, j=11, yk=7.378697629483821e+19, qj=9, binStr=110111111: 1.4995067072059788e+16
Case qj == j - 2: k=33, m=7, j=11, yk=7.378697629483821e+19, qj=9, binStr=101111111: 1.4995067072059788e+16
Case qj == j - 2: k=33, m=8, j=11, yk=7.378697629483821e+19, qj=9, binStr=011111111: 1.4995067072059788e+16
Case qj == j - 2: k=33, m=0, j=12, yk=7.378697629483821e+19, qj=10, binStr=01111111111: 4998355690686596.0
Case qj == j - 2: k=33, m=1, j=12, yk=7.378697629483821e+19, qj=10, binStr=1111111101: 4998355690686596.0
Case qj == j - 2: k=33, m=2, j=12, yk=7.378697629483821e+19, qj=10, binStr=1111111011: 4998355690686596.0
